time,"V(1,0)","P(3,0)","V(3,0)","V(5,0)"
5.050000e-11,4.154382e-17,7.301156e-01,1.738713e-14,2.396381e-12
5.075000e-11,3.792655e-17,7.301156e-01,1.588991e-14,2.189868e-12
5.100000e-11,3.661118e-17,7.301156e-01,1.452137e-14,2.001151e-12
5.125000e-11,3.507658e-17,7.301156e-01,1.327013e-14,1.828699e-12
5.150000e-11,3.376121e-17,7.301156e-01,1.212685e-14,1.671109e-12
5.175000e-11,3.113046e-17,7.301156e-01,1.108168e-14,1.527098e-12
5.200000e-11,2.729396e-17,7.301156e-01,1.012562e-14,1.395499e-12
5.225000e-11,2.455361e-17,7.301156e-01,9.253476e-15,1.275239e-12
5.250000e-11,2.192286e-17,7.301156e-01,8.455100e-15,1.165344e-12
5.275000e-11,1.929212e-17,7.301156e-01,7.726329e-15,1.064918e-12
5.300000e-11,1.753829e-17,7.301156e-01,7.060477e-15,9.731479e-13
5.325000e-11,1.600369e-17,7.301156e-01,6.452775e-15,8.892843e-13
5.350000e-11,1.534600e-17,7.301156e-01,5.896373e-15,8.126490e-13
5.375000e-11,1.446909e-17,7.301156e-01,5.388311e-15,7.426179e-13
5.400000e-11,1.315372e-17,7.301156e-01,4.923875e-15,6.786213e-13
5.425000e-11,1.227680e-17,7.301156e-01,4.499722e-15,6.201405e-13
5.450000e-11,1.161912e-17,7.301156e-01,4.112510e-15,5.666983e-13
5.475000e-11,9.865288e-18,7.301156e-01,3.757633e-15,5.178636e-13
5.500000e-11,8.988373e-18,7.301156e-01,3.434052e-15,4.732346e-13
5.525000e-11,8.330688e-18,7.301156e-01,3.137710e-15,4.324540e-13
5.550000e-11,7.124930e-18,7.301156e-01,2.867730e-15,3.951856e-13
5.575000e-11,7.673002e-18,7.301156e-01,2.620111e-15,3.611294e-13
5.600000e-11,6.138401e-18,7.301156e-01,2.394470e-15,3.300092e-13
5.625000e-11,5.919173e-18,7.301156e-01,2.188121e-15,3.015697e-13
5.650000e-11,4.603801e-18,7.301156e-01,1.999420e-15,2.755811e-13
5.675000e-11,5.261487e-18,7.301156e-01,1.827380e-15,2.518336e-13
5.700000e-11,4.713415e-18,7.301156e-01,1.670138e-15,2.301311e-13
5.725000e-11,4.165344e-18,7.301156e-01,1.525831e-15,2.102997e-13
5.750000e-11,3.726887e-18,7.301156e-01,1.395007e-15,1.921765e-13
5.775000e-11,3.069201e-18,7.301156e-01,1.274047e-15,1.756149e-13
5.800000e-11,2.630743e-18,7.301156e-01,1.164542e-15,1.604813e-13
5.825000e-11,3.178815e-18,7.301156e-01,1.064136e-15,1.466505e-13
5.850000e-11,2.411515e-18,7.301156e-01,9.723337e-16,1.340145e-13
5.875000e-11,2.411515e-18,7.301156e-01,8.888076e-16,1.224640e-13
5.900000e-11,2.192286e-18,7.301156e-01,8.121324e-16,1.119111e-13
5.925000e-11,2.082672e-18,7.301156e-01,7.421985e-16,1.022677e-13
5.950000e-11,1.863443e-18,7.301156e-01,6.779097e-16,9.345387e-14
5.975000e-11,1.973058e-18,7.301156e-01,6.194305e-16,8.540062e-14
6.000000e-11,1.753829e-18,7.301156e-01,5.663223e-16,7.804155e-14
6.025000e-11,1.315372e-18,7.301156e-01,5.173795e-16,7.131551e-14
6.050000e-11,1.096143e-18,7.301156e-01,4.733694e-16,6.517020e-14
6.075000e-11,1.096143e-18,7.301156e-01,4.317708e-16,5.955356e-14
6.100000e-11,9.865288e-19,7.301156e-01,3.952692e-16,5.442142e-14
6.125000e-11,1.096143e-18,7.301156e-01,3.610695e-16,4.973135e-14
6.150000e-11,1.315372e-18,7.301156e-01,3.296102e-16,4.544587e-14
6.175000e-11,1.753829e-18,7.301156e-01,3.015490e-16,4.153089e-14
6.200000e-11,7.673002e-19,7.301156e-01,2.752415e-16,3.795001e-14
6.225000e-11,8.769145e-19,7.301156e-01,2.521129e-16,3.468087e-14
6.250000e-11,2.192286e-19,7.301156e-01,2.295324e-16,3.169224e-14
6.275000e-11,6.576859e-19,7.301156e-01,2.102402e-16,2.896076e-14
6.300000e-11,6.576859e-19,7.301156e-01,1.920443e-16,2.646495e-14
6.325000e-11,6.576859e-19,7.301156e-01,1.756021e-16,2.418497e-14
6.350000e-11,-4.384572e-19,7.301156e-01,1.605850e-16,2.210055e-14
6.375000e-11,6.576859e-19,7.301156e-01,1.463351e-16,2.019457e-14
6.400000e-11,7.673002e-19,7.301156e-01,1.340583e-16,1.845510e-14
6.425000e-11,4.384572e-19,7.301156e-01,1.221103e-16,1.686581e-14
6.450000e-11,0.000000e+00,7.301156e-01,1.119162e-16,1.541046e-14
6.475000e-11,8.769145e-19,7.301156e-01,1.021605e-16,1.408336e-14
6.500000e-11,1.096143e-18,7.301156e-01,9.328178e-17,1.287047e-14
6.525000e-11,0.000000e+00,7.301156e-01,8.571839e-17,1.176096e-14
6.550000e-11,4.384572e-19,7.301156e-01,7.853865e-17,1.074713e-14
6.575000e-11,7.673002e-19,7.301156e-01,7.146853e-17,9.820784e-15
